"Plot9"
"Time (sec)","Angular Displacement7 (deg)"
0,-46.9722150900619
0.04,-45.2985166987886
0.08,-43.6722656447699
0.12,-42.1025701782297
0.16,-40.5976348532368
0.2,-39.1649839905437
0.24,-37.8117026612745
0.28,-36.5446999131532
0.32,-35.3709996829825
0.36,-34.2980659806671
0.4,-33.3341703510632
0.44,-32.4888109700241
0.48,-31.7731932800379
0.52,-31.2007803879847
0.56,-30.787914827686
0.6,-30.554496801761
0.64,-30.5246690960252
0.68,-30.727391733278
0.72,-31.1966708108241
0.76,-31.9710164927539
0.8,-33.0914468406558
0.84,-34.59710403498
0.88,-36.5175491849089
0.92,-38.8615130437848
0.96,-41.6037715890782
1,-44.6746095704795
1.04,-47.9581274644948
1.08,-51.3036431990624
1.12,-54.5482503149378
1.16,-57.5424120939779
1.2,-60.1694247875344
1.24,-62.3540010846557
1.28,-64.0608530372443
1.32,-65.2872505784279
1.36,-66.0536265345681
1.4,-66.394887129686
1.44,-66.3535835831161
1.48,-65.9751058198764
1.52,-65.3045895651331
1.56,-64.3850981713874
1.6,-63.2566749367409
1.64,-61.9559511598683
1.68,-60.5160869666475
1.72,-58.9668968359904
1.76,-57.3350665802774
1.8,-55.644406200024
1.84,-53.9161078177849
1.88,-52.1689936581283
1.92,-50.4197487234286
1.96,-48.6831384966131
2,-46.9722158384004
2.04,-45.2985166987886
2.08,-43.67226564477
2.12,-42.1025701782297
2.16,-40.5976348532369
2.2,-39.1649839905438
2.24,-37.8117026612746
2.28,-36.5446999131532
2.32,-35.3709996829825
2.36,-34.2980659806671
2.4,-33.3341703510633
2.44,-32.4888109700241
2.48,-31.7731932800379
2.52,-31.2007803879726
2.56,-30.7879148276861
2.6,-30.554496801761
2.64,-30.5246690960252
2.68,-30.727391733278
2.72,-31.1966708108241
2.76,-31.9710164927538
2.8,-33.0914468406557
2.84,-34.59710403498
2.88,-36.5175491849089
2.92,-38.8615130437847
2.96,-41.6037715890781
3,-44.6745873456201
3.04,-47.958127464494
3.08,-51.3036431990623
3.12,-54.5482503149377
3.16,-57.5424120939778
3.2,-60.1694247875343
3.24,-62.3540010846557
3.28,-64.0608530372443
3.32,-65.2872505784279
3.36,-66.0536265345681
3.4,-66.394887129686
3.44,-66.3535835831162
3.48,-65.9751058198764
3.52,-65.3045895651331
3.56,-64.3850981713874
3.6,-63.2566749367409
3.64,-61.9559511598683
3.68,-60.5160869666476
3.72,-58.9668968359904
3.76,-57.3350665802774
3.8,-55.6444062000241
3.84,-53.9161078177849
3.88,-52.1689936581283
3.92,-50.4197487234286
3.96,-48.6831384966131
4,-46.9722139171129
4.04,-45.2985166987886
4.08,-43.67226564477
4.12,-42.1025701782297
4.16,-40.5976348532369
4.2,-39.1649839905438
4.24,-37.8117026612745
4.28,-36.5446999131532
4.32,-35.3709996829825
4.36,-34.2980659806671
4.4,-33.3341703510632
4.44,-32.4888109700241
4.48,-31.7731932800379
4.52,-31.2007803879726
4.56,-30.787914827686
4.6,-30.554496801761
4.64,-30.5246690960252
4.68,-30.727391733278
4.72,-31.1966708108241
4.76,-31.9710164927539
4.8,-33.0914468406559
4.84,-34.5971040349801
4.88,-36.5175491849091
4.92,-38.8615130437849
4.96,-41.6037715890784
5,-44.6746105140775
