"Plot2"
"Time (sec)","Angular Velocity1 (deg/sec)"
0,42.3529411764706
0.04,41.2894691803923
0.08,39.9852198697643
0.12,38.4654606651449
0.16,36.7500543815832
0.2,34.8530769816033
0.24,32.7823226082314
0.28,30.5386834123046
0.32,28.1153806023362
0.36,25.4970137601515
0.4,22.6583917224384
0.44,19.5631171383946
0.48,16.1619308729761
0.52,12.390905110739
0.56,8.16974724806075
0.6,3.40081186419273
0.64,-2.02997345561674
0.68,-8.24803581040181
0.72,-15.3771512025625
0.76,-23.512805603885
0.8,-32.6749885465251
0.84,-42.7358166174653
0.88,-53.3285603115622
0.92,-63.7693373384026
0.96,-73.0541209396958
1,-79.9999999999999
1.04,-83.5381068817296
1.08,-83.0476278664434
1.12,-78.5512562508316
1.16,-70.6670759734121
1.2,-60.3707223509061
1.24,-48.7144167528233
1.28,-36.6208777831047
1.32,-24.7878195248809
1.36,-13.6792702614481
1.4,-3.56303725554401
1.44,5.43782875231738
1.48,13.2972608097465
1.52,20.0487451298073
1.56,25.7588272632652
1.6,30.5096880257811
1.64,34.3883913265165
1.68,37.4806849476581
1.72,39.8677378183764
1.76,41.624674954953
1.8,42.8201471643499
1.84,43.5164429256292
1.88,43.7698347120874
1.92,43.6309747800548
1.96,43.1452355486298
2,42.3529333377262
2.04,41.2894691803923
2.08,39.9852198697644
2.12,38.465460665145
2.16,36.7500543815833
2.2,34.8530769816033
2.24,32.7823226082315
2.28,30.5386834123046
2.32,28.1153806023362
2.36,25.4970137601516
2.4,22.6583917224385
2.44,19.5631171383947
2.48,16.1619308729761
2.52,12.3909051107485
2.56,8.16974724806086
2.6,3.40081186419286
2.64,-2.0299734556165
2.68,-8.24803581040148
2.72,-15.3771512025623
2.76,-23.5128056038846
2.8,-32.6749885465247
2.84,-42.735816617465
2.88,-53.3285603115618
2.92,-63.7693373384023
2.96,-73.0541209396954
3,-80.0002715895137
3.04,-83.5381068817296
3.08,-83.0476278664435
3.12,-78.5512562508318
3.16,-70.6670759734122
3.2,-60.3707223509062
3.24,-48.7144167528236
3.28,-36.6208777831048
3.32,-24.787819524881
3.36,-13.6792702614482
3.4,-3.56303725554407
3.44,5.43782875231726
3.48,13.2972608097464
3.52,20.0487451298072
3.56,25.7588272632652
3.6,30.5096880257811
3.64,34.3883913265165
3.68,37.480684947658
3.72,39.8677378183764
3.76,41.624674954953
3.8,42.8201471643499
3.84,43.5164429256292
3.88,43.7698347120873
3.92,43.6309747800547
3.96,43.1452355486298
4,42.3529534645885
4.04,41.2894691803923
4.08,39.9852198697644
4.12,38.465460665145
4.16,36.7500543815833
4.2,34.8530769816033
4.24,32.7823226082314
4.28,30.5386834123046
4.32,28.1153806023361
4.36,25.4970137601515
4.4,22.6583917224384
4.44,19.5631171383946
4.48,16.161930872976
4.52,12.3909051107484
4.56,8.16974724806061
4.6,3.40081186419256
4.64,-2.02997345561695
4.68,-8.24803581040203
4.72,-15.3771512025629
4.76,-23.5128056038855
4.8,-32.6749885465256
4.84,-42.7358166174661
4.88,-53.328560311563
4.92,-63.7693373384032
4.96,-73.0541209396964
5,-79.9999884691702
