"Plot3"
"Time (sec)","Angular Acceleration1 (deg/sec**2)"
0,-23.3341960388457
0.04,-29.7126703477699
0.08,-35.3944006801294
0.12,-40.5106386551406
0.16,-45.2008201762333
0.2,-49.6153172381926
0.24,-53.918365751167
0.28,-58.2914451894939
0.32,-62.9373784763663
0.36,-68.0853371267366
0.4,-73.9967261087419
0.44,-80.9714825415312
0.48,-89.3534569860969
0.52,-99.5319043374193
0.56,-111.933103171763
0.6,-126.990860694975
0.64,-145.076094562063
0.68,-166.35341315917
0.72,-190.51952423287
0.76,-216.376881976739
0.8,-241.239064303894
0.84,-260.310859621039
0.88,-266.482934308314
0.92,-251.314857985356
0.96,-207.866421893549
1,-134.822237624567
1.04,-39.4076276353733
1.08,63.8128474888138
1.12,158.321069007511
1.16,231.698193415092
1.2,278.647602056838
1.24,300.285128199137
1.28,301.483728308878
1.32,288.253292984531
1.36,266.080755368219
1.4,239.238430938534
1.44,210.711853177024
1.48,182.410185605683
1.52,155.448413791176
1.56,130.402465252841
1.6,107.505826475428
1.64,86.7879137854635
1.68,68.1655372493504
1.72,51.5002780009117
1.76,36.6325595237992
1.8,23.4004313728295
1.84,11.6486544471465
1.88,1.2318411229101
1.92,-7.98588360149692
1.96,-16.1331030232172
2,-23.3341873544394
2.04,-29.7126703477714
2.08,-35.3944006801293
2.12,-40.5106386551405
2.16,-45.2008201762332
2.2,-49.6153172381924
2.24,-53.9183657511668
2.28,-58.2914451894939
2.32,-62.9373784763661
2.36,-68.0853371267364
2.4,-73.9967261087417
2.44,-80.971482541531
2.48,-89.3534569860967
2.52,-99.531904337393
2.56,-111.933103171763
2.6,-126.990860694975
2.64,-145.076094562062
2.68,-166.353413159169
2.72,-190.519524232869
2.76,-216.376881976738
2.8,-241.239064303893
2.84,-260.310859621039
2.88,-266.482934308314
2.92,-251.314857985357
2.96,-207.866421893551
3,-134.823272588663
3.04,-39.4076276353769
3.08,63.8128474888108
3.12,158.321069007508
3.16,231.69819341509
3.2,278.647602056837
3.24,300.285128199136
3.28,301.483728308879
3.32,288.253292984532
3.36,266.080755368219
3.4,239.238430938534
3.44,210.711853177024
3.48,182.410185605683
3.52,155.448413791176
3.56,130.402465252841
3.6,107.505826475428
3.64,86.7879137854637
3.68,68.1655372493508
3.72,51.5002780009118
3.76,36.6325595237993
3.8,23.4004313728295
3.84,11.6486544471466
3.88,1.23184112291035
3.92,-7.98588360149672
3.96,-16.1331030232171
4,-23.3342096489529
4.04,-29.7126703477715
4.08,-35.3944006801291
4.12,-40.5106386551405
4.16,-45.2008201762331
4.2,-49.6153172381924
4.24,-53.918365751167
4.28,-58.2914451894938
4.32,-62.9373784763663
4.36,-68.0853371267366
4.4,-73.9967261087419
4.44,-80.9714825415314
4.48,-89.353456986097
4.52,-99.5319043373935
4.56,-111.933103171763
4.6,-126.990860694976
4.64,-145.076094562064
4.68,-166.353413159171
4.72,-190.519524232871
4.76,-216.376881976741
4.8,-241.239064303895
4.84,-260.31085962104
4.88,-266.482934308314
4.92,-251.314857985354
4.96,-207.866421893545
5,-134.822193683369
